Country name,year,Happiness score,Log GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Afghanistan,2019,2.375,7.697,0.42,52.4,0.39399999999999996,-0.10800000000000001,0.924
Afghanistan,2021,2.523,7.695,0.46299999999999997,52.493,0.382,-0.102,0.924
Albania,2020,5.365,9.497,0.71,69.3,0.754,0.006999999999999999,0.8909999999999999
Albania,2021,5.117,9.52,0.6970000000000001,68.999,0.785,-0.03,0.9009999999999999
Albania,2019,4.995,9.544,0.6859999999999999,69.0,0.777,-0.099,0.914
Algeria,2021,4.887,9.342,0.802,66.005,0.48,-0.067,0.752
Algeria,2019,4.745,9.337,0.8029999999999999,66.1,0.385,0.005,0.741
Argentina,2020,5.901,9.85,0.897,69.2,0.823,-0.122,0.816
Argentina,2019,6.086,10.0,0.8959999999999999,69.0,0.8170000000000001,-0.21100000000000002,0.83
Argentina,2021,5.928999999999999,9.962,0.898,69.0,0.828,-0.182,0.8340000000000001
Armenia,2019,5.4879999999999995,9.522,0.782,67.2,0.8440000000000001,-0.172,0.583
Armenia,2021,5.2829999999999995,9.487,0.799,67.055,0.825,-0.168,0.629
Australia,2019,7.234,10.815,0.943,73.9,0.9179999999999999,0.121,0.43
Australia,2020,7.1370000000000005,10.76,0.937,74.2,0.905,0.21,0.491
Australia,2021,7.183,10.796,0.94,73.9,0.914,0.159,0.442
Austria,2019,7.195,10.939,0.9640000000000001,73.3,0.903,0.06,0.457
Austria,2020,7.212999999999999,10.850999999999999,0.925,73.6,0.912,0.011000000000000001,0.46399999999999997
Austria,2021,7.268,10.905999999999999,0.934,73.3,0.9079999999999999,0.042,0.48100000000000004
Azerbaijan,2019,5.172999999999999,9.575,0.887,65.8,0.8540000000000001,-0.214,0.457
Azerbaijan,2021,5.171,9.568999999999999,0.836,65.656,0.8140000000000001,-0.223,0.506
Bahrain,2020,6.172999999999999,10.62,0.848,69.7,0.945,0.132,0.457
Bahrain,2019,7.098,10.715,0.878,69.3,0.907,0.048,0.457
Bahrain,2021,6.647,10.669,0.862,69.495,0.925,0.08900000000000001,0.722
Bangladesh,2019,5.114,8.467,0.6729999999999999,64.8,0.902,-0.051,0.6559999999999999
Bangladesh,2021,5.025,8.454,0.693,64.8,0.877,-0.040999999999999995,0.682
Bangladesh,2020,5.28,8.472000000000001,0.7390000000000001,65.3,0.777,-0.009000000000000001,0.742
Belarus,2021,5.534,9.853,0.91,66.253,0.65,-0.18,0.627
Belarus,2019,5.821000000000001,9.86,0.917,66.4,0.657,-0.18600000000000003,0.546
Belgium,2021,6.834,10.823,0.9059999999999999,72.199,0.7829999999999999,-0.153,0.6459999999999999
Belgium,2020,6.8389999999999995,10.770999999999999,0.904,72.4,0.767,-0.16399999999999998,0.634
Belgium,2019,6.772,10.853,0.884,72.2,0.7759999999999999,-0.172,0.672
Benin,2021,5.045,8.087,0.489,54.713,0.757,-0.034,0.6609999999999999
Benin,2019,4.976,8.097999999999999,0.442,54.7,0.77,-0.016,0.698
Benin,2020,4.408,8.102,0.507,55.1,0.7829999999999999,-0.083,0.532
Bolivia,2020,5.559,8.998,0.805,64.2,0.877,-0.054000000000000006,0.868
Bolivia,2019,5.6739999999999995,9.074,0.784,63.9,0.8809999999999999,-0.086,0.857
Bolivia,2021,5.716,9.046,0.81,63.901,0.875,-0.077,0.8390000000000001
Bosnia and Herzegovina,2019,6.016,9.609,0.873,68.1,0.722,0.079,0.963
Bosnia and Herzegovina,2021,5.813,9.59,0.87,68.098,0.706,0.113,0.9309999999999999
Bosnia and Herzegovina,2020,5.516,9.583,0.899,68.4,0.74,0.138,0.9159999999999999
Botswana,2021,3.467,9.782,0.784,59.269,0.8240000000000001,-0.24600000000000002,0.8009999999999999
Botswana,2019,3.471,9.785,0.774,59.6,0.833,-0.239,0.792
Brazil,2019,6.4510000000000005,9.592,0.899,66.6,0.83,-0.062,0.762
Brazil,2020,6.11,9.522,0.831,66.8,0.7859999999999999,-0.053,0.7290000000000001
Brazil,2021,6.33,9.577,0.882,66.601,0.804,-0.071,0.7559999999999999
Bulgaria,2020,5.598,9.991,0.9159999999999999,67.2,0.818,-0.004,0.9009999999999999
Bulgaria,2019,5.1080000000000005,10.047,0.948,67.0,0.8220000000000001,-0.109,0.943
Bulgaria,2021,5.266,10.016,0.9309999999999999,67.0,0.7879999999999999,-0.096,0.932
Burkina Faso,2021,4.834,7.678,0.672,54.151,0.695,-0.009000000000000001,0.748
Burkina Faso,2019,4.7410000000000005,7.691,0.6829999999999999,54.4,0.6779999999999999,-0.004,0.7290000000000001
Burundi,2021,3.775,6.635,0.49,53.4,0.626,-0.024,0.607
Cambodia,2019,4.998,8.387,0.759,62.0,0.9570000000000001,0.013000000000000001,0.828
Cambodia,2021,4.83,8.36,0.765,62.0,0.9590000000000001,0.034,0.843
Cambodia,2020,4.377,8.362,0.7240000000000001,62.4,0.963,0.052000000000000005,0.863
Cameroon,2021,5.142,8.189,0.71,53.515,0.731,0.026000000000000002,0.848
Cameroon,2020,5.2410000000000005,8.175,0.72,54.3,0.675,0.049,0.8370000000000001
Cameroon,2019,4.937,8.203,0.711,53.5,0.7120000000000001,-0.008,0.8170000000000001
