Country name,year,Happiness score,Log GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Afghanistan,2019,2.375,7.697,0.42,52.4,0.39399999999999996,-0.10800000000000001,0.924
Albania,2019,4.995,9.544,0.6859999999999999,69.0,0.777,-0.099,0.914
Albania,2020,5.365,9.497,0.71,69.3,0.754,0.006999999999999999,0.8909999999999999
Algeria,2019,4.745,9.337,0.8029999999999999,66.1,0.385,0.005,0.741
Argentina,2019,6.086,10.0,0.8959999999999999,69.0,0.8170000000000001,-0.21100000000000002,0.83
Argentina,2020,5.901,9.85,0.897,69.2,0.823,-0.122,0.816
Armenia,2019,5.4879999999999995,9.522,0.782,67.2,0.8440000000000001,-0.172,0.583
Australia,2019,7.234,10.815,0.943,73.9,0.9179999999999999,0.121,0.43
Australia,2020,7.1370000000000005,10.76,0.937,74.2,0.905,0.21,0.491
Austria,2019,7.195,10.939,0.9640000000000001,73.3,0.903,0.06,0.457
Austria,2020,7.212999999999999,10.850999999999999,0.925,73.6,0.912,0.011000000000000001,0.46399999999999997
Azerbaijan,2019,5.172999999999999,9.575,0.887,65.8,0.8540000000000001,-0.214,0.457
Bahrain,2019,7.098,10.715,0.878,69.3,0.907,0.048,0.457
Bahrain,2020,6.172999999999999,10.62,0.848,69.7,0.945,0.132,0.457
Bangladesh,2019,5.114,8.467,0.6729999999999999,64.8,0.902,-0.051,0.6559999999999999
Bangladesh,2020,5.28,8.472000000000001,0.7390000000000001,65.3,0.777,-0.009000000000000001,0.742
Belarus,2019,5.821000000000001,9.86,0.917,66.4,0.657,-0.18600000000000003,0.546
Belgium,2019,6.772,10.853,0.884,72.2,0.7759999999999999,-0.172,0.672
Belgium,2020,6.8389999999999995,10.770999999999999,0.904,72.4,0.767,-0.16399999999999998,0.634
Benin,2019,4.976,8.097999999999999,0.442,54.7,0.77,-0.016,0.698
Benin,2020,4.408,8.102,0.507,55.1,0.7829999999999999,-0.083,0.532
Bolivia,2019,5.6739999999999995,9.074,0.784,63.9,0.8809999999999999,-0.086,0.857
Bolivia,2020,5.559,8.998,0.805,64.2,0.877,-0.054000000000000006,0.868
Bosnia and Herzegovina,2019,6.016,9.609,0.873,68.1,0.722,0.079,0.963
Bosnia and Herzegovina,2020,5.516,9.583,0.899,68.4,0.74,0.138,0.9159999999999999
Botswana,2019,3.471,9.785,0.774,59.6,0.833,-0.239,0.792
Brazil,2019,6.4510000000000005,9.592,0.899,66.6,0.83,-0.062,0.762
Brazil,2020,6.11,9.522,0.831,66.8,0.7859999999999999,-0.053,0.7290000000000001
Bulgaria,2019,5.1080000000000005,10.047,0.948,67.0,0.8220000000000001,-0.109,0.943
Bulgaria,2020,5.598,9.991,0.9159999999999999,67.2,0.818,-0.004,0.9009999999999999
Burkina Faso,2019,4.7410000000000005,7.691,0.6829999999999999,54.4,0.6779999999999999,-0.004,0.7290000000000001
Cambodia,2019,4.998,8.387,0.759,62.0,0.9570000000000001,0.013000000000000001,0.828
Cambodia,2020,4.377,8.362,0.7240000000000001,62.4,0.963,0.052000000000000005,0.863
Cameroon,2019,4.937,8.203,0.711,53.5,0.7120000000000001,-0.008,0.8170000000000001
Cameroon,2020,5.2410000000000005,8.175,0.72,54.3,0.675,0.049,0.8370000000000001
Canada,2019,7.109,10.8,0.925,73.8,0.912,0.11199999999999999,0.436
Canada,2020,7.025,10.73,0.9309999999999999,74.0,0.887,0.05,0.434
Chad,2019,4.251,7.365,0.64,48.7,0.537,0.055,0.8320000000000001
Chile,2019,5.942,10.095,0.8690000000000001,70.0,0.659,-0.10300000000000001,0.86
Chile,2020,6.151,10.02,0.888,70.1,0.7809999999999999,0.033,0.812
China,2019,5.144,9.687999999999999,0.8220000000000001,69.6,0.927,-0.17300000000000001,0.812
China,2020,5.771,9.702,0.8079999999999999,69.9,0.8909999999999999,-0.10300000000000001,0.812
Colombia,2019,6.35,9.597999999999999,0.873,68.0,0.8220000000000001,-0.172,0.8540000000000001
