Country name,Happiness score,Log GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,year
Finland,7.8420000000000005,1.446,1.1059999999999999,0.741,0.691,0.124,0.48100000000000004,2021
Denmark,7.62,1.5019999999999998,1.1079999999999999,0.763,0.6859999999999999,0.20800000000000002,0.485,2021
Switzerland,7.571000000000001,1.5659999999999998,1.079,0.816,0.653,0.204,0.413,2021
Iceland,7.553999999999999,1.482,1.172,0.772,0.698,0.293,0.17,2021
Netherlands,7.4639999999999995,1.501,1.079,0.753,0.647,0.302,0.384,2021
Norway,7.392,1.5430000000000001,1.1079999999999999,0.782,0.703,0.249,0.42700000000000005,2021
Sweden,7.3629999999999995,1.4780000000000002,1.062,0.763,0.685,0.244,0.44799999999999995,2021
Luxembourg,7.324,1.751,1.003,0.76,0.639,0.166,0.353,2021
New Zealand,7.277,1.4,1.094,0.785,0.665,0.276,0.445,2021
Austria,7.268,1.492,1.062,0.782,0.64,0.215,0.292,2021
Australia,7.183,1.453,1.0759999999999998,0.8009999999999999,0.647,0.29100000000000004,0.317,2021
Israel,7.157,1.376,1.074,0.7879999999999999,0.509,0.20800000000000002,0.11900000000000001,2021
Germany,7.155,1.48,0.993,0.757,0.6,0.195,0.306,2021
Canada,7.103,1.4469999999999998,1.044,0.7979999999999999,0.648,0.24600000000000002,0.335,2021
Ireland,7.085,1.6440000000000001,1.092,0.753,0.606,0.23800000000000002,0.36700000000000005,2021
Costa Rica,7.069,1.1340000000000001,0.966,0.722,0.6729999999999999,0.105,0.083,2021
United Kingdom,7.064,1.423,1.062,0.757,0.58,0.34,0.306,2021
Czech Republic,6.965,1.37,1.09,0.703,0.58,0.052000000000000005,0.046,2021
United States,6.9510000000000005,1.5330000000000001,1.03,0.621,0.5539999999999999,0.252,0.154,2021
Belgium,6.834,1.463,0.998,0.747,0.489,0.08800000000000001,0.187,2021
France,6.69,1.421,1.081,0.804,0.536,0.092,0.235,2021
Bahrain,6.647,1.409,0.899,0.662,0.6609999999999999,0.24600000000000002,0.139,2021
Malta,6.602,1.411,1.055,0.747,0.664,0.275,0.183,2021
Taiwan Province of China,6.584,1.48,0.982,0.665,0.49,0.142,0.139,2021
United Arab Emirates,6.561,1.555,0.86,0.594,0.67,0.23600000000000002,0.223,2021
Saudi Arabia,6.494,1.435,0.9640000000000001,0.5710000000000001,0.603,0.09,0.163,2021
Spain,6.4910000000000005,1.375,1.057,0.826,0.462,0.135,0.124,2021
Italy,6.483,1.393,0.94,0.7979999999999999,0.379,0.133,0.047,2021
Slovenia,6.461,1.36,1.093,0.722,0.69,0.122,0.085,2021
Guatemala,6.435,0.845,0.79,0.519,0.638,0.163,0.105,2021
Uruguay,6.431,1.1640000000000001,1.042,0.649,0.625,0.128,0.223,2021
Singapore,6.377000000000001,1.695,1.0190000000000001,0.897,0.664,0.17600000000000002,0.547,2021
Kosovo,6.372000000000001,0.937,0.807,0.483,0.593,0.35600000000000004,0.013999999999999999,2021
Slovakia,6.331,1.304,1.0659999999999998,0.653,0.46799999999999997,0.107,0.018000000000000002,2021
Brazil,6.33,1.028,0.9440000000000001,0.5710000000000001,0.514,0.142,0.11699999999999999,2021
Mexico,6.317,1.126,0.83,0.634,0.585,0.092,0.08900000000000001,2021
Jamaica,6.309,0.8909999999999999,0.932,0.599,0.618,0.099,0.035,2021
Lithuania,6.255,1.35,1.065,0.612,0.47600000000000003,0.055999999999999994,0.073,2021
Cyprus,6.223,1.3769999999999998,0.765,0.8009999999999999,0.46399999999999997,0.17800000000000002,0.061,2021
Estonia,6.189,1.344,1.079,0.64,0.6409999999999999,0.11900000000000001,0.263,2021
Panama,6.18,1.298,0.976,0.667,0.596,0.079,0.053,2021
Uzbekistan,6.178999999999999,0.769,1.0270000000000001,0.528,0.716,0.391,0.271,2021
Chile,6.172000000000001,1.2,0.946,0.6779999999999999,0.43799999999999994,0.159,0.07,2021
Poland,6.166,1.3090000000000002,0.982,0.6679999999999999,0.5579999999999999,0.08,0.13,2021
Kazakhstan,6.152,1.23,1.103,0.527,0.573,0.14300000000000002,0.132,2021
Romania,6.14,1.275,0.8320000000000001,0.595,0.564,0.045,0.001,2021
Kuwait,6.106,1.4609999999999999,0.857,0.58,0.591,0.12,0.13,2021
Serbia,6.077999999999999,1.101,0.924,0.634,0.48200000000000004,0.18899999999999997,0.066,2021
El Salvador,6.061,0.845,0.675,0.565,0.615,0.11599999999999999,0.16,2021
Mauritius,6.0489999999999995,1.178,0.996,0.574,0.59,0.153,0.096,2021
Latvia,6.032,1.285,1.047,0.5870000000000001,0.405,0.08199999999999999,0.08900000000000001,2021
Colombia,6.0120000000000005,1.021,0.866,0.615,0.5539999999999999,0.1,0.063,2021
Hungary,5.992000000000001,1.301,1.083,0.615,0.45399999999999996,0.067,0.04,2021
Thailand,5.985,1.107,0.9570000000000001,0.596,0.611,0.375,0.027999999999999997,2021
Nicaragua,5.972,0.693,0.904,0.604,0.5529999999999999,0.201,0.17600000000000002,2021
Japan,5.94,1.389,0.9490000000000001,0.838,0.504,0.02,0.192,2021
Argentina,5.928999999999999,1.162,0.98,0.6459999999999999,0.544,0.069,0.067,2021
Portugal,5.928999999999999,1.3230000000000002,0.9390000000000001,0.76,0.621,0.028999999999999998,0.033,2021
Honduras,5.919,0.703,0.787,0.593,0.578,0.24100000000000002,0.083,2021
Croatia,5.882000000000001,1.251,1.0390000000000001,0.703,0.45299999999999996,0.111,0.0,2021
Philippines,5.88,0.853,0.828,0.426,0.6509999999999999,0.125,0.126,2021
South Korea,5.845,1.403,0.758,0.8009999999999999,0.353,0.134,0.135,2021
Peru,5.84,0.986,0.833,0.623,0.536,0.087,0.031,2021
Bosnia and Herzegovina,5.813,1.032,0.919,0.618,0.395,0.261,0.005,2021
Moldova,5.766,0.985,0.888,0.542,0.536,0.13699999999999998,0.013000000000000001,2021
Ecuador,5.763999999999999,0.935,0.8059999999999999,0.64,0.56,0.107,0.062,2021
Kyrgyzstan,5.744,0.665,0.971,0.501,0.6729999999999999,0.266,0.02,2021
Greece,5.723,1.273,0.8109999999999999,0.76,0.243,0.0,0.07400000000000001,2021
Bolivia,5.716,0.8420000000000001,0.782,0.486,0.6,0.138,0.064,2021
Mongolia,5.6770000000000005,0.966,1.065,0.442,0.397,0.263,0.053,2021
Paraguay,5.653,0.983,0.97,0.5489999999999999,0.602,0.20600000000000002,0.037000000000000005,2021
Montenegro,5.581,1.155,0.8909999999999999,0.637,0.397,0.166,0.081,2021
Dominican Republic,5.545,1.1059999999999999,0.879,0.555,0.581,0.10099999999999999,0.14400000000000002,2021
North Cyprus,5.5360000000000005,1.3769999999999998,0.8059999999999999,0.8009999999999999,0.503,0.196,0.2,2021
Belarus,5.534,1.124,1.0070000000000001,0.56,0.326,0.07,0.19899999999999998,2021
Russia,5.477,1.2409999999999999,0.992,0.511,0.409,0.115,0.06,2021
Hong Kong S.A.R. of China,5.477,1.525,0.841,0.893,0.408,0.23199999999999998,0.342,2021
Tajikistan,5.466,0.508,0.895,0.498,0.5479999999999999,0.152,0.247,2021
Vietnam,5.4110000000000005,0.8170000000000001,0.873,0.616,0.679,0.124,0.091,2021
Libya,5.41,1.044,0.821,0.435,0.474,0.131,0.174,2021
Malaysia,5.3839999999999995,1.2590000000000001,0.797,0.5870000000000001,0.624,0.27,0.064,2021
Indonesia,5.345,0.9540000000000001,0.7859999999999999,0.433,0.598,0.541,0.046,2021
Congo (Brazzaville),5.3420000000000005,0.518,0.392,0.307,0.381,0.14400000000000002,0.124,2021
China,5.3389999999999995,1.061,0.785,0.665,0.636,0.09300000000000001,0.11699999999999999,2021
Ivory Coast,5.306,0.669,0.409,0.052000000000000005,0.43799999999999994,0.177,0.092,2021
Armenia,5.2829999999999995,0.996,0.758,0.585,0.54,0.079,0.198,2021
Nepal,5.269,0.519,0.7020000000000001,0.496,0.488,0.287,0.135,2021
Bulgaria,5.266,1.181,1.055,0.583,0.494,0.125,0.005,2021
Maldives,5.1979999999999995,1.115,1.015,0.6970000000000001,0.575,0.204,0.073,2021
Azerbaijan,5.171,1.025,0.841,0.541,0.526,0.043,0.276,2021
Cameroon,5.142,0.5429999999999999,0.556,0.159,0.425,0.205,0.057999999999999996,2021
Senegal,5.132000000000001,0.518,0.5579999999999999,0.35700000000000004,0.381,0.158,0.08800000000000001,2021
Albania,5.117,1.008,0.529,0.6459999999999999,0.491,0.168,0.024,2021
North Macedonia,5.101,1.068,0.772,0.535,0.45,0.212,0.022000000000000002,2021
Ghana,5.088,0.68,0.595,0.287,0.517,0.268,0.057999999999999996,2021
Niger,5.074,0.162,0.402,0.16699999999999998,0.516,0.2,0.157,2021
Turkmenistan,5.066,1.046,1.172,0.439,0.602,0.366,0.033,2021
Gambia,5.051,0.36700000000000005,0.511,0.21,0.384,0.465,0.12300000000000001,2021
Benin,5.045,0.507,0.057999999999999996,0.196,0.457,0.166,0.17800000000000002,2021
Laos,5.03,0.8079999999999999,0.598,0.33,0.643,0.268,0.179,2021
Bangladesh,5.025,0.635,0.52,0.514,0.603,0.161,0.16399999999999998,2021
Guinea,4.984,0.42,0.39899999999999997,0.20600000000000002,0.384,0.25,0.111,2021
South Africa,4.956,0.9670000000000001,0.895,0.265,0.447,0.14400000000000002,0.051,2021
Turkey,4.948,1.26,0.809,0.59,0.23600000000000002,0.09699999999999999,0.10400000000000001,2021
Pakistan,4.934,0.637,0.423,0.322,0.418,0.252,0.09699999999999999,2021
Morocco,4.918,0.792,0.21899999999999997,0.5579999999999999,0.47700000000000004,0.034,0.08800000000000001,2021
Venezuela,4.8919999999999995,0.852,0.897,0.574,0.284,0.078,0.07200000000000001,2021
Georgia,4.891,1.03,0.47,0.498,0.488,0.032,0.18100000000000002,2021
Algeria,4.887,0.946,0.765,0.552,0.11900000000000001,0.14400000000000002,0.12,2021
Ukraine,4.875,0.9790000000000001,0.958,0.517,0.41700000000000004,0.18100000000000002,0.01,2021
Iraq,4.854,0.91,0.638,0.381,0.302,0.153,0.040999999999999995,2021
Gabon,4.852,1.037,0.7070000000000001,0.36200000000000004,0.424,0.057999999999999996,0.064,2021
Burkina Faso,4.834,0.364,0.47200000000000003,0.179,0.381,0.182,0.122,2021
Cambodia,4.83,0.603,0.68,0.426,0.7020000000000001,0.21,0.061,2021
Mozambique,4.794,0.183,0.634,0.196,0.608,0.228,0.163,2021
Nigeria,4.7589999999999995,0.6629999999999999,0.625,0.051,0.433,0.212,0.039,2021
Mali,4.723,0.387,0.59,0.11,0.384,0.16399999999999998,0.07200000000000001,2021
Iran,4.721,1.03,0.557,0.561,0.275,0.33,0.14400000000000002,2021
Uganda,4.636,0.364,0.718,0.24,0.39799999999999996,0.267,0.054000000000000006,2021
Liberia,4.625,0.228,0.58,0.253,0.43,0.221,0.057,2021
Kenya,4.607,0.603,0.508,0.385,0.483,0.375,0.073,2021
Tunisia,4.596,0.919,0.515,0.59,0.33399999999999996,0.057,0.044000000000000004,2021
Lebanon,4.584,1.045,0.868,0.595,0.175,0.14,0.026000000000000002,2021
Namibia,4.574,0.882,0.8009999999999999,0.262,0.41100000000000003,0.091,0.059000000000000004,2021
Palestinian Territories,4.5169999999999995,0.6459999999999999,0.8190000000000001,0.434,0.33,0.08199999999999999,0.075,2021
Myanmar,4.426,0.6659999999999999,0.713,0.341,0.601,0.52,0.17800000000000002,2021
Jordan,4.395,0.89,0.685,0.583,0.455,0.079,0.15,2021
Chad,4.355,0.255,0.353,0.0,0.24,0.215,0.084,2021
Sri Lanka,4.325,0.99,0.82,0.593,0.5589999999999999,0.239,0.049,2021
Swaziland,4.308,0.8490000000000001,0.693,0.07400000000000001,0.32299999999999995,0.067,0.147,2021
Comoros,4.289,0.488,0.36700000000000005,0.27899999999999997,0.20199999999999999,0.24100000000000002,0.10099999999999999,2021
Egypt,4.283,0.9540000000000001,0.647,0.426,0.446,0.069,0.092,2021
Ethiopia,4.275,0.37,0.679,0.331,0.451,0.24100000000000002,0.114,2021
Mauritania,4.227,0.6659999999999999,0.7490000000000001,0.273,0.218,0.11900000000000001,0.133,2021
Madagascar,4.208,0.266,0.503,0.341,0.207,0.185,0.087,2021
Togo,4.107,0.254,0.239,0.203,0.289,0.209,0.107,2021
Zambia,4.073,0.528,0.552,0.231,0.48700000000000004,0.22699999999999998,0.07400000000000001,2021
Sierra Leone,3.8489999999999998,0.27899999999999997,0.377,0.1,0.408,0.243,0.047,2021
India,3.819,0.741,0.316,0.38299999999999995,0.622,0.24600000000000002,0.106,2021
Burundi,3.775,0.0,0.062,0.155,0.298,0.172,0.212,2021
Yemen,3.658,0.32899999999999996,0.831,0.272,0.268,0.092,0.08900000000000001,2021
Tanzania,3.623,0.433,0.54,0.3,0.5489999999999999,0.307,0.231,2021
Haiti,3.615,0.294,0.17300000000000001,0.22699999999999998,0.257,0.46299999999999997,0.139,2021
Malawi,3.6,0.113,0.168,0.298,0.484,0.213,0.134,2021
Lesotho,3.512,0.451,0.731,0.006999999999999999,0.405,0.10300000000000001,0.015,2021
Botswana,3.467,1.099,0.7240000000000001,0.34,0.539,0.027000000000000003,0.08800000000000001,2021
Rwanda,3.415,0.364,0.20199999999999999,0.40700000000000003,0.627,0.22699999999999998,0.493,2021
Zimbabwe,3.145,0.457,0.649,0.243,0.359,0.157,0.075,2021
Afghanistan,2.523,0.37,0.0,0.126,0.0,0.122,0.01,2021
